"id","filename","orig_status","cur_status","pub_year","date_approx","author","script","title","type","series","edition","ocr_quality","language","translated_from","pub_city","country","source","source_url"
1,"McGillLibrary-rbsc_365-menus-365-recettes_TX728P651938-17651_rbsc_365-menus-365-recettes_TX728P651938.epub","text","words",1938,,"Édouard de Pomiane",,"365 menus, 365 recettes",,,,0.75741756297942,"French",,"Paris","France","Archive.org",
2,"McGillLibrary-105274-89_105274.epub","text","words",1929,,,,"A table! : chez Tante Claire","Bourgeois cooking",,,0.97999999947736,"French",,"Paris","France","Archive.org",
3,"b2153262x_b2153262x.epub","text","words",1855,,"Louis-Eustache Audot",,"Almanach des ménagères et des gastronomes",,,,0.942857142857143,"French",,"Paris","France","Archive.org",
4,"commentonformeun02seig_commentonformeun02seig.epub","text","words",1904,,"Madame Seignobos",,"Comment on forme une cuisinière (deuxième partie volailles, gibiers, sauces)","Bourgeois cooking",,,0.867385201181019,"French",,"Paris","France","Archive.org",
5,"commentonformeun01seig_commentonformeun01seig.epub","text","words",1904,,"Madame Seignobos",,"Comment on forme une cuisinière (première partie viandes de boucherie)","Bourgeois cooking",,,0.871212121212121,"French",,"Paris","France","Archive.org",
6,"commentonformeun04seig_commentonformeun04seig.epub","text","words",1904,,"Madame Seignobos",,"Comment on forme une cuisinière (quatrième partie conserves, sirops, confitures)","Bourgeois cooking",,,0.916666666666666,"French",,"Paris","France","Archive.org",
7,"commentonformeun03seig_commentonformeun03seig.epub","text","words",1904,,"Madame Seignobos",,"Comment on forme une cuisinière (troisième partie potages, pâtes, oeufs, légumes, poissons)","Bourgeois cooking",,,0.922870139431285,"French",,"Paris","France","Archive.org",
8,"bnf-bpt6k65490239.epub","text","words",1876,,"Urbain-Dubois",,"École des cuisinières, méthodes élémentaires, économiques","Fine cooking",,2,0.863437583963129,"French",,"Paris","France","Archive.org",
9,"grandeencyclopedieillustreedeconomiedomestiqueetruralev1_Trousset+Grande+encyclopedie+illustree+deconomie+domestique+et+rurale++v_1.epub","text","words",1877,,"Jules Trousset",,"Grande encyclopédie illustrée d'économie domestique et rurale (Tome 1 A-F)","Bourgeois cooking",,,0.65914164665107,"French",,"Paris","France","Archive.org",
10,"b28054805_b28054805.epub","text","words",1890,1,"Mme C. Durandeau",,"Guide de la bonne cuisinière ","Bourgeois cooking","Guide de la bonne cuisinière ",11,0.961837745818994,"French",,"Paris","France","Archive.org",
11,"b2807998x_b2807998x.epub","text","words",1898,1,"Mme C. Durandeau",,"Guide de la bonne cuisinière ","Bourgeois cooking","Guide de la bonne cuisinière ",13,0.979980062542193,"French",,"Paris","France","Archive.org",
12,"b28080002_b28080002.epub","text","words",1900,1,"Mme C. Durandeau",,"Guide de la bonne cuisinière ","Bourgeois cooking","Guide de la bonne cuisinière ",17,0.948007649041829,"French",,"Paris","France","Archive.org",
13,"1882 Cuisine artistique","text","words",1882,,"Urbain-Dubois",,"La cuisine artistique (première partie)","Fine cooking",,2,0.75,"French",,"Paris","France","Gallica",
14,"1906 La cuisine bourgeoise","text","words",1906,,"Auguste Colombié",,"La cuisine bourgeoise Tome II","Bourgeois cooking",,1,0.99,"French",,"Meulan","France","Gallica",
15,"1868 La cuisine classique","text","words",1869,,"Urbain Dubois et Émile Bernard",,"La cuisine classique","Fine cooking",,3,0.97999998805924,"French",,"Paris","France","Gallica",
16,"atf9229.0001.001.umich.edu_atf9229.0001.001.umich.edu.epub","text","words",1895,,"Catherine de Bonnechère",,"La cuisine du siècle","Bourgeois cooking",,,0.788540231540435,"French",,"Paris","France","Archive.org",
17,"1922 La cuisine et la table modernes","text","words",1922,,,,"La cuisine et la table modernes","Bourgeois cooking",,,0.990778306825879,"French",,"Paris","France","Gallica",
18,"1865 La cuisine française","text","words",1864,,"A. Gogué",,"La cuisine française","Fine cooking",,3,0.991115630942775,"French",,"Paris","France","Gallica",
19,"1876 La cuisine française","text","words",1876,,"A. Gogué",,"La cuisine française","Fine cooking",,5,0.989999999999994,"French",,"Paris","France","Gallica",
20,"1848  La cuisine ordinaire","text","words",1848,,"Beauvilliers et Carême",,"La cuisine ordinaire. Tome 1","Bourgeois cooking",,,0.995,"French",,"Paris","France","Gallica",
21,"b21525663_b21525663.epub","text","words",1900,1,,,"La cuisine pratique de Françoise","Bourgeois cooking",,,0.972730973732975,"French",,"Paris","France","Archive.org",
22,"1900 La Cuisine rationnelle","text","words",1900,,"Dr Ern. Nyssens",,"La cuisine rationnelle","Rational and medical",,,0.98666666607191,"French",,"Paris, Bruxelles","France, Belgium","Gallica",
23,"1907 La cuisine rationnelle des malades et des bien portants","text","words",1907,,"Mme Augusta Moll-Weiss",,"La cuisine rationnelle des malades et des bien portants","Rational and medical",,,1,"French",,"Paris","France","Gallica",
24,"1913 La Cuisine simple","text","words",1913,,"Tante Mag",,"La Cuisine simple","Bourgeois cooking",,,0.986998453013496,"French",,"Paris","France","Gallica",
25,"b22018141_b22018141.epub","text","words",1827,,,,"La cuisinière bourgeoise","Bourgeois cooking",,5,0.745859255285209,"French",,"Paris","France","Archive.org",
26,"b29318476_b29318476.epub","text","words",1829,,,,"La cuisinière bourgeoise","Bourgeois cooking",,7,0.63242489009428,"French",,"Paris","France","Archive.org",
27,"lacuisinieredela00audo_0_lacuisinieredela00audo_0.epub","text","words",1829,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",8,0.588843028205117,"French",,"Paris","France","Archive.org",
28,"b2153259x_b2153259x.epub","text","words",1836,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",20,0.97,"French",,"Paris","France","Archive.org",
29,"b2152564x_b2152564x.epub","text","words",1839,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",23,0.768119241743539,"French",,"Paris","France","Archive.org",
30,"bub_gb_AXk7AAAAcAAJ_bub_gb_AXk7AAAAcAAJ.epub","text","words",1853,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",33,0.925,"French",,"Paris","France","Archive.org",
31,"b21505470_b21505470.epub","text","words",1854,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",34,0.956115630942774,"French",,"Paris","France","Archive.org",
32,"lacuisiniredela03audogoog_lacuisiniredela03audogoog.epub","text","words",1858,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",38,0.96,"French",,"Paris","France","Archive.org",
33,"lacuisiniredela00audogoog_lacuisiniredela00audogoog.epub","text","words",1872,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",50,0.792846737910481,"French",,"Paris","France","Archive.org",
34,"lacuisiniredela01audogoog_lacuisiniredela01audogoog.epub","text","words",1879,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",57,0.851262742523866,"French",,"Paris","France","Archive.org",
35,"lacuisiniredela02audogoog_lacuisiniredela02audogoog.epub","text","words",1893,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",71,0.782866986858495,"French",,"Paris","France","Archive.org",
36,"b21539406_b21539406.epub","text","words",1909,,"Louis-Eustache Audot",,"La cuisinière de la campagne et de la ville","Bourgeois cooking","La cuisinière de la campagne et de la ville",87,0.961115512085302,"French",,"Paris","France","Archive.org",
37,"b21525559_b21525559.epub","text","words",1829,,,,"La Cuisinière du Haut-Rhin","Bourgeois cooking",,,0.69402127304659,"French","de","Mulhausen","France","Archive.org",
38,"b28131186_b28131186.epub","text","words",1850,1,"Édouard Hocquart",,"La cuisinière modèle","Bourgeois cooking",,5,0.98,"French",,"Paris","France","Archive.org",
39,"b21532655_b21532655.epub","text","words",1909,1,"Mme E.H Gabrielle",,"La cuisinière modèle","Bourgeois cooking",,,0.975,"French",,"Paris","France","Archive.org",
40,"CuisiniereProvencaleReboul1900_La-cuisiniere-provençale1909.epub","text","words",1900,,"Jean-Baptiste Reboul",,"La cuisinière Provençale","Bourgeois cooking",,3,0.712103995624354,"French",,"Marseilles","France","Archive.org",
41,"1883 La cuisinière universelle","text","words",1883,,"Madame la comtesse de Bassanville",,"La cuisinière universelle","Bourgeois cooking",,,0.968169903319279,"French",,"Paris","France","Gallica",
42,"b28095509_b28095509.epub","text","words",1902,,"Prosper Salles et Prosper Montagné",,"La grande cuisine illustrée","Fine cooking",,4,0.984999913742505,"French",,"Paris","France","Archive.org",
43,"lanouvellecuisi00unkngoog_lanouvellecuisi00unkngoog.epub","text","words",1817,,,,"La nouvelle cuisinière bourgeoise","Bourgeois cooking",,4,0.784185311080833,"French",,"Paris","France","Archive.org",
44,"lanouvellecuisi00frangoog_lanouvellecuisi00frangoog.epub","text","words",1900,,"Franc-Nohain",,"La nouvelle cuisinière bourgeoise","Bourgeois cooking",,,0.842833228486019,"French",,"Paris","France","Archive.org",
45,"b20397276_b20397276.epub","text","words",1865,,"Mlle Madeleine",,"La parfaite cuisiniére bourgeoise","Bourgeois cooking",,4,0.944357625775404,"French",,"Paris","France","Archive.org",
46,"b28049135_b28049135.epub","text","words",1884,,,,"La petite cuisine du baron Brisse",,,6,0.979999968268559,"French",,"Paris","France","Archive.org",
47,"b21525651_b21525651.epub","text","words",1899,,"Carlotto Schulz",,"La table du végétarien","Vegetarian",,,0.736521764437216,"French","de","Paris, Bruxelles","France, Belgium","Archive.org","https://archive.org/details/b21525651"
48,"b21525602_b21525602.epub","text","words",1910,1,"Tante Marie",,"La véritable cuisine de famille","Bourgeois cooking",,,0.953895275160608,"French",,"Paris","France","Archive.org",
49,"1886 Le bon cuisinier illustré","text","words",1886,,"Léon Souchay",,"Le bon cuisinier illustré","Fine cooking",,,0.994999999999948,"French",,"Paris","France","Gallica",
50,"leconfiseurroyal00frie_leconfiseurroyal00frie.epub","text","words",1818,,"Mme Utrecht-Friedel",,"Le confiseur royal","Fine cooking, Pastry",,5,0.527496986086209,"French",,"Paris","France","Archive.org",
51,"b22021772_b22021772.epub","text","words",1828,,"Mlle Marguerite",,"Le cordon bleu. Nouvelle cuisinière bourgeoise ","Bourgeois cooking",,2,0.953020134228176,"French",,"Paris","France","Archive.org",
52,"b24967701_b24967701.epub","text","words",1869,1,"Mlle Marguerite",,"Le cordon bleu. Nouvelle cuisinière bourgeoise ","Bourgeois cooking",,,0.975,"French",,"Paris","France","Archive.org",
53,"1883 Le Cuisinier à la bonne franquette","text","words",1883,,"Mique Grandchamp",,"Le cuisinier à la bonne franquette","Bourgeois cooking",,1,1,"French",,"Annecy","France","Gallica",
54,"1844 Le cuisinier des cuisiniers","text","words",1844,,,,"Le cuisinier des cuisiniers","Fine cooking","Le cuisinier des cuisiniers",10,0.995,"French",,"Paris","France","Gallica",
55,"b28054532_b28054532.epub","text","words",1877,,"Jourdan-Lecointe",,"Le cuisinier des cuisiniers","Fine cooking","Le cuisinier des cuisiniers",22,0.966465004627623,"French",,"Paris","France","Archive.org",
56,"b28117700_b28117700.epub","text","words",1880,1,"Jourdan-Lecointe",,"Le cuisinier des cuisiniers","Fine cooking","Le cuisinier des cuisiniers",30,0.989993221774867,"French",,"Paris","France","Archive.org",
57,"1869 Le Cuisinier des cuisiniers","text","words",1869,,"Jourdan-Lecointe",,"Le cuisinier des cuisiniers","Fine cooking","Le cuisinier des cuisiniers",,1,"French",,"Paris","France","Gallica",
58,"1829  Le Cuisinier des gourmands","text","words",1829,,"A. Martin",,"Le Cuisinier des gourmands","Fine cooking",,,0.987477880975712,"French",,"Paris","France","Gallica",
59,"lecuisiniermoder01garl_lecuisiniermoder01garl.epub","text","words",1889,,"Gustave Garlin",,"Le cuisinier moderne (Tome 1)","Fine cooking",,2,0.613273062170306,"French",,"Paris","France","Archive.org",
60,"b28079140_b28079140.epub","text","words",1853,,"Viart, Fouret et Délan",,"Le cuisinier national de la ville et de la campagne (ex cuisinier royal)","Fine cooking","Le cuisinier royal",22,0.945,"French",,"Paris","France","Archive.org",
61,"b21525444_b21525444.epub","text","words",1836,,"M.A. Chevrier",,"Le cuisinier national et universel","Fine cooking",,,0.95,"French",,"Paris","France","Archive.org",
62,"b21525407_b21525407.epub","text","words",1849,,"Antonin Carême",,"Le cuisinier parisien, ou l'art de la cuisine française au dix-neuvième siècle","Fine cooking",,2,0.942379829753569,"French",,"Paris","France","Archive.org",
63,"b29300125_b29300125.epub","text","words",1842,,"Antonin Carême",,"Le cuisinier parisien, ou l'art de la cuisine française au dix-neuvième siècle","Fine cooking",,3,0.760109842860198,"French",,"Paris","France","Archive.org",
64,"1817 Le cuisinier royal","text","words",1817,,"Viart",,"Le cuisinier royal","Fine cooking","Le cuisinier royal",9,0.997446064795266,"French",,"Paris","France","Gallica",
65,"1823 Le cuisinier royal","text","words",1822,,"Viart et Fouret",,"Le cuisinier royal","Fine cooking","Le cuisinier royal",11,1,"French",,"Paris","France","Gallica",
66,"b21532679_b21532679.epub","text","words",1840,,"Viart",,"Le cuisinier royal","Fine cooking","Le cuisinier royal",17,0.522414944031273,"French",,"Paris","France","Archive.org",
67,"b21532680_b21532680.epub","text","words",1844,,"Viart",,"Le cuisinier royal","Fine cooking","Le cuisinier royal",19,0.591020715937761,"French",,"Paris","France","Archive.org",
68,"b21525845_b21525845.epub","text","words",1846,,"Viart, Fouret et Délan",,"Le cuisinier royal","Fine cooking","Le cuisinier royal",20,0.928478574706556,"French",,"Paris","France","Archive.org",
69,"leglacierroyalo00conggoog_leglacierroyalo00conggoog.epub","text","words",1844,,"Bernardi",,"Le glacier royal","Fine cooking, Pastry",,,0.934999967017374,"French",,"Paris","France","Archive.org",
70,"1912 Le guide culinaire","text","words",1912,,"Auguste Escoffier",,"Le guide culinaire","Fine cooking",,3,0.997349866001824,"French",,"Paris","France","Gallica",
71,"b28125629_b28125629.epub","text","words",1877,,"Jules Gouffé",,"Le livre de cuisine","Fine cooking","Le livre de cuisine",4,0.714060739996244,"French",,"Paris","France","Archive.org",
72,"1893 Le livre de cuisine","text","words",1893,,"Jules Gouffé",,"Le livre de cuisine","Fine cooking","Le livre de cuisine",8,0.989553081355098,"French",,"Paris","France","Gallica",
73,"GoufPa_Gouf_pa.epub","text","words",1873,,"Jules Gouffé",,"Le Livre De Patisserie","Fine cooking",,,0.31118566368732,"French",,"Paris","France","Archive.org",
74,"b2152578x_b2152578x.epub","text","words",1869,,"Jules Gouffé",,"Le livre des conserves","Fine cooking",,,0.731802368262626,"French",,"Paris","France","Archive.org",
75,"lememorialdesgla00laca_lememorialdesgla00laca.epub","text","words",1911,,"Pierre Lacam",,"Le mémorial des glaces et entremets","Fine cooking",,3,0.450706653284271,"French",,"Paris","France","Archive.org",
76,"b28054234_b28054234.epub","text","words",1900,,"Pierre Lacam",,"Le mémorial historique et géographique de la pâtisserie","Fine cooking",,5,0.678905055925411,"French",,"Paris","France","Archive.org",
77,"1813 Le Nouveau cuisinier impérial","text","words",1813,,,,"Le Nouveau cuisinier impérial","Fine cooking",,,0.996837818603991,"French",,"Paris","France","Gallica",
78,"lenouveaulivrede00raym_lenouveaulivrede00raym.epub","text","words",1886,,"Mlle Emmeline Raymond",,"Le nouveau livre de cuisine","Bourgeois cooking",,,0.965,"French",,"Paris","France","Archive.org",
