ngram,count,total_words,frequency
und,210,5313,0.039525691699604744
mit,173,5313,0.03256164125729343
in,123,5313,0.023150762281197064
der,103,5313,0.019386410690758516
dem,100,5313,0.018821757952192736
die,99,5313,0.018633540372670808
1,89,5313,0.016751364577451532
kartoffeln,82,5313,0.015433841520798042
eßlöffel,67,5313,0.012610577827969132
2,64,5313,0.01204592508940335
wird,62,5313,0.011669489930359496
salz,60,5313,0.01129305477131564
zucker,59,5313,0.011104837191793714
wasser,55,5313,0.010351966873706004
kilogramm,51,5313,0.009599096555618294
den,47,5313,0.008846226237530586
von,47,5313,0.008846226237530586
^,47,5313,0.008846226237530586
fett,46,5313,0.008658008658008658
liter,46,5313,0.008658008658008658
gramm,42,5313,0.007905138339920948
nach,39,5313,0.007340485601355167
man,39,5313,0.007340485601355167
werden,38,5313,0.007152268021833239
zu,38,5313,0.007152268021833239
gekocht,38,5313,0.007152268021833239
das,37,5313,0.006964050442311312
oder,35,5313,0.006587615283267457
für,31,5313,0.005834744965179748
nährhefe,29,5313,0.005458309806135893
4,28,5313,0.005270092226613966
eine,27,5313,0.005081874647092038
aus,27,5313,0.005081874647092038
ge,26,5313,0.004893657067570111
3,26,5313,0.004893657067570111
essig,25,5313,0.004705439488048184
ersatz,25,5313,0.004705439488048184
pfeffer,24,5313,0.004517221908526256
eiweiß,24,5313,0.004517221908526256
käse,23,5313,0.004329004329004329
sie,21,5313,0.003952569169960474
geschnittenen,21,5313,0.003952569169960474
milch,21,5313,0.003952569169960474
scheiben,18,5313,0.0033879164313946925
auf,18,5313,0.0033879164313946925
ei,18,5313,0.0033879164313946925
mehl,17,5313,0.003199698851872765
ein,17,5313,0.003199698851872765
als,16,5313,0.0030114812723508375
geschmack,16,5313,0.0030114812723508375
etwas,16,5313,0.0030114812723508375
schale,15,5313,0.00282326369282891
teelöffel,15,5313,0.00282326369282891
6,15,5313,0.00282326369282891
läßt,15,5313,0.00282326369282891
roggenmehl,15,5313,0.00282326369282891
zwiebel,15,5313,0.00282326369282891
noch,15,5313,0.00282326369282891
durch,15,5313,0.00282326369282891
vermischt,14,5313,0.002635046113306983
masse,14,5313,0.002635046113306983
gericht,14,5313,0.002635046113306983
getrocknetes,14,5313,0.002635046113306983
brei,14,5313,0.002635046113306983
weizenmehl,14,5313,0.002635046113306983
stunde,13,5313,0.0024468285337850555
vegetabilisches,13,5313,0.0024468285337850555
geriebene,13,5313,0.0024468285337850555
buttermilch,13,5313,0.0024468285337850555
5,13,5313,0.0024468285337850555
einem,13,5313,0.0024468285337850555
ab,13,5313,0.0024468285337850555
hinzu,12,5313,0.002258610954263128
schmeckt,12,5313,0.002258610954263128
zwiebeln,12,5313,0.002258610954263128
es,12,5313,0.002258610954263128
7,12,5313,0.002258610954263128
8,12,5313,0.002258610954263128
suppe,11,5313,0.002070393374741201
im,11,5313,0.002070393374741201
brühe,11,5313,0.002070393374741201
knapper,11,5313,0.002070393374741201
zum,11,5313,0.002070393374741201
eier,11,5313,0.002070393374741201
aepfel,11,5313,0.002070393374741201
ist,11,5313,0.002070393374741201
kocht,11,5313,0.002070393374741201
soße,11,5313,0.002070393374741201
gewürzen,10,5313,0.0018821757952192735
saure,10,5313,0.0018821757952192735
kartoffelmehl,10,5313,0.0018821757952192735
abgeschmeckt,10,5313,0.0018821757952192735
kochen,10,5313,0.0018821757952192735
gar,10,5313,0.0018821757952192735
vor,10,5313,0.0018821757952192735
kleine,9,5313,0.0016939582156973462
bis,9,5313,0.0016939582156973462
so,9,5313,0.0016939582156973462
fleisch,9,5313,0.0016939582156973462
z,9,5313,0.0016939582156973462
magermilch,9,5313,0.0016939582156973462
nicht,9,5313,0.0016939582156973462
er,9,5313,0.0016939582156973462
ver,9,5313,0.0016939582156973462
gefüllt,9,5313,0.0016939582156973462
roh,9,5313,0.0016939582156973462
abgezogenen,9,5313,0.0016939582156973462
einmal,8,5313,0.0015057406361754188
grieß,8,5313,0.0015057406361754188
mischt,8,5313,0.0015057406361754188
schellfisch,8,5313,0.0015057406361754188
seite,8,5313,0.0015057406361754188
fügt,8,5313,0.0015057406361754188
verrührt,8,5313,0.0015057406361754188
heringe,8,5313,0.0015057406361754188
gestreckt,8,5313,0.0015057406361754188
vorschrift,8,5313,0.0015057406361754188
ohne,8,5313,0.0015057406361754188
13,8,5313,0.0015057406361754188
weich,8,5313,0.0015057406361754188
anstatt,8,5313,0.0015057406361754188
stücke,8,5313,0.0015057406361754188
mohrrüben,8,5313,0.0015057406361754188
geschälten,8,5313,0.0015057406361754188
zitronensaft,8,5313,0.0015057406361754188
zur,8,5313,0.0015057406361754188
einer,8,5313,0.0015057406361754188
hergestellt,7,5313,0.0013175230566534915
sind,7,5313,0.0013175230566534915
geschlagen,7,5313,0.0013175230566534915
20,7,5313,0.0013175230566534915
gebraten,7,5313,0.0013175230566534915
messerspitze,7,5313,0.0013175230566534915
schnee,7,5313,0.0013175230566534915
10,7,5313,0.0013175230566534915
salzwasser,7,5313,0.0013175230566534915
einige,7,5313,0.0013175230566534915
sieb,7,5313,0.0013175230566534915
zimt,7,5313,0.0013175230566534915
27,7,5313,0.0013175230566534915
teig,7,5313,0.0013175230566534915
an,7,5313,0.0013175230566534915
frische,7,5313,0.0013175230566534915
nnd,7,5313,0.0013175230566534915
aber,7,5313,0.0013175230566534915
weißem,7,5313,0.0013175230566534915
gelatine,7,5313,0.0013175230566534915
1^,7,5313,0.0013175230566534915
minuten,7,5313,0.0013175230566534915
schon,7,5313,0.0013175230566534915
23,6,5313,0.001129305477131564
hirse,6,5313,0.001129305477131564
heiß,6,5313,0.001129305477131564
bestreut,6,5313,0.001129305477131564
nur,6,5313,0.001129305477131564
weißer,6,5313,0.001129305477131564
gebacken,6,5313,0.001129305477131564
25,6,5313,0.001129305477131564
weiße,6,5313,0.001129305477131564
heißen,6,5313,0.001129305477131564
ziehen,6,5313,0.001129305477131564
halb,6,5313,0.001129305477131564
kann,6,5313,0.001129305477131564
weißkohl,6,5313,0.001129305477131564
17,6,5313,0.001129305477131564
auch,6,5313,0.001129305477131564
l,6,5313,0.001129305477131564
125,6,5313,0.001129305477131564
gerieben,6,5313,0.001129305477131564
zutaten,6,5313,0.001129305477131564
potsdam,6,5313,0.001129305477131564
zitronenschale,6,5313,0.001129305477131564
leicht,6,5313,0.001129305477131564
31,6,5313,0.001129305477131564
eierkuchen,6,5313,0.001129305477131564
des,6,5313,0.001129305477131564
aufgefüllt,5,5313,0.0009410878976096367
art,5,5313,0.0009410878976096367
ausgestrichene,5,5313,0.0009410878976096367
zeit,5,5313,0.0009410878976096367
ihr,5,5313,0.0009410878976096367
gut,5,5313,0.0009410878976096367
kartoffel,5,5313,0.0009410878976096367
braun,5,5313,0.0009410878976096367
14,5,5313,0.0009410878976096367
schnitten,5,5313,0.0009410878976096367
klöße,5,5313,0.0009410878976096367
helle,5,5313,0.0009410878976096367
verbrauch,5,5313,0.0009410878976096367
kaltem,5,5313,0.0009410878976096367
übrigen,5,5313,0.0009410878976096367
32,5,5313,0.0009410878976096367
29,5,5313,0.0009410878976096367
auflaufform,5,5313,0.0009410878976096367
26,5,5313,0.0009410878976096367
ofen,5,5313,0.0009410878976096367
stunden,5,5313,0.0009410878976096367
i,5,5313,0.0009410878976096367
uns,5,5313,0.0009410878976096367
streifen,5,5313,0.0009410878976096367
be,5,5313,0.0009410878976096367
einbrenne,5,5313,0.0009410878976096367
vermengt,5,5313,0.0009410878976096367
anrichten,5,5313,0.0009410878976096367
22,5,5313,0.0009410878976096367
gewaschen,5,5313,0.0009410878976096367
abge,5,5313,0.0009410878976096367
x,5,5313,0.0009410878976096367
lange,5,5313,0.0009410878976096367
lagenweise,5,5313,0.0009410878976096367
mittelgroße,5,5313,0.0009410878976096367
12,5,5313,0.0009410878976096367
19,5,5313,0.0009410878976096367
aufkochen,5,5313,0.0009410878976096367
glasschale,5,5313,0.0009410878976096367
^4,5,5313,0.0009410878976096367
16,5,5313,0.0009410878976096367
viertelstunde,5,5313,0.0009410878976096367
jeder,4,5313,0.0007528703180877094
geriebener,4,5313,0.0007528703180877094
geringer,4,5313,0.0007528703180877094
mandeln,4,5313,0.0007528703180877094
kartoffelflockenmehl,4,5313,0.0007528703180877094
gekochte,4,5313,0.0007528703180877094
quark,4,5313,0.0007528703180877094
beziehen,4,5313,0.0007528703180877094
wohl,4,5313,0.0007528703180877094
kohl,4,5313,0.0007528703180877094
kartoffelbrei,4,5313,0.0007528703180877094
30,4,5313,0.0007528703180877094
geschält,4,5313,0.0007528703180877094
kochendes,4,5313,0.0007528703180877094
sich,4,5313,0.0007528703180877094
33,4,5313,0.0007528703180877094
roggen,4,5313,0.0007528703180877094
einen,4,5313,0.0007528703180877094
18,4,5313,0.0007528703180877094
topf,4,5313,0.0007528703180877094
hafergrütze,4,5313,0.0007528703180877094
wie,4,5313,0.0007528703180877094
aufgelöst,4,5313,0.0007528703180877094
reicht,4,5313,0.0007528703180877094
kochend,4,5313,0.0007528703180877094
ii,4,5313,0.0007528703180877094
geschnitten,4,5313,0.0007528703180877094
köpfe,4,5313,0.0007528703180877094
blatt,4,5313,0.0007528703180877094
15,4,5313,0.0007528703180877094
petersilie,4,5313,0.0007528703180877094
parmesankäse,4,5313,0.0007528703180877094
gebackene,4,5313,0.0007528703180877094
24,4,5313,0.0007528703180877094
rohen,4,5313,0.0007528703180877094
rüben,4,5313,0.0007528703180877094
her,4,5313,0.0007528703180877094
müssen,4,5313,0.0007528703180877094
11,4,5313,0.0007528703180877094
v,4,5313,0.0007528703180877094
aufgelöste,4,5313,0.0007528703180877094
gegossen,4,5313,0.0007528703180877094
39,4,5313,0.0007528703180877094
backobst,4,5313,0.0007528703180877094
unter,4,5313,0.0007528703180877094
birnen,4,5313,0.0007528703180877094
backen,4,5313,0.0007528703180877094
9,4,5313,0.0007528703180877094
abgekühlten,4,5313,0.0007528703180877094
frischer,4,5313,0.0007528703180877094
füllt,4,5313,0.0007528703180877094
große,4,5313,0.0007528703180877094
diese,4,5313,0.0007528703180877094
wir,4,5313,0.0007528703180877094
100,4,5313,0.0007528703180877094
kohlrabi,4,5313,0.0007528703180877094
trocken,3,5313,0.000564652738565782
flockenmehl,3,5313,0.000564652738565782
rezepte,3,5313,0.000564652738565782
kalten,3,5313,0.000564652738565782
saft,3,5313,0.000564652738565782
bittere,3,5313,0.000564652738565782
makkaroni,3,5313,0.000564652738565782
gurken,3,5313,0.000564652738565782
k,3,5313,0.000564652738565782
form,3,5313,0.000564652738565782
speisen,3,5313,0.000564652738565782
beträufelt,3,5313,0.000564652738565782
über,3,5313,0.000564652738565782
erkalten,3,5313,0.000564652738565782
flüssig,3,5313,0.000564652738565782
fleischfüllung,3,5313,0.000564652738565782
dann,3,5313,0.000564652738565782
langsam,3,5313,0.000564652738565782
43,3,5313,0.000564652738565782
daher,3,5313,0.000564652738565782
zitrone,3,5313,0.000564652738565782
sehr,3,5313,0.000564652738565782
seiten,3,5313,0.000564652738565782
speise,3,5313,0.000564652738565782
obst,3,5313,0.000564652738565782
kepfeln,3,5313,0.000564652738565782
unsere,3,5313,0.000564652738565782
>,3,5313,0.000564652738565782
kohlrüben,3,5313,0.000564652738565782
375,3,5313,0.000564652738565782
warmem,3,5313,0.000564652738565782
alle,3,5313,0.000564652738565782
rote,3,5313,0.000564652738565782
gekochten,3,5313,0.000564652738565782
sür,3,5313,0.000564652738565782
75,3,5313,0.000564652738565782
verwenden,3,5313,0.000564652738565782
tage,3,5313,0.000564652738565782
rotkohl,3,5313,0.000564652738565782
suppen,3,5313,0.000564652738565782
fein,3,5313,0.000564652738565782
gebunden,3,5313,0.000564652738565782
steifer,3,5313,0.000564652738565782
erstarren,3,5313,0.000564652738565782
49,3,5313,0.000564652738565782
etwa,3,5313,0.000564652738565782
sowie,3,5313,0.000564652738565782
uud,3,5313,0.000564652738565782
wenn,3,5313,0.000564652738565782
28,3,5313,0.000564652738565782
1v,3,5313,0.000564652738565782
21,3,5313,0.000564652738565782
knappe,3,5313,0.000564652738565782
eisernen,3,5313,0.000564652738565782
zitronensäure,3,5313,0.000564652738565782
vielleicht,3,5313,0.000564652738565782
worden,3,5313,0.000564652738565782
nahrungsmittel,3,5313,0.000564652738565782
seine,3,5313,0.000564652738565782
bei,3,5313,0.000564652738565782
wirsingkohl,3,5313,0.000564652738565782
schneebesen,3,5313,0.000564652738565782
nr,3,5313,0.000564652738565782
lebensmittel,3,5313,0.000564652738565782
beliebiger,3,5313,0.000564652738565782
haferflocken,3,5313,0.000564652738565782
fleischextrakt,3,5313,0.000564652738565782
zn,3,5313,0.000564652738565782
geschlagenen,3,5313,0.000564652738565782
wer,3,5313,0.000564652738565782
schweinebauch,3,5313,0.000564652738565782
neue,3,5313,0.000564652738565782
pulver,3,5313,0.000564652738565782
rührt,3,5313,0.000564652738565782
würfel,3,5313,0.000564652738565782
lang,3,5313,0.000564652738565782
vaterländischen,2,5313,0.0003764351590438547
muß,2,5313,0.0003764351590438547
habe,2,5313,0.0003764351590438547
weiß,2,5313,0.0003764351590438547
zogenen,2,5313,0.0003764351590438547
braunbier,2,5313,0.0003764351590438547
frisches,2,5313,0.0003764351590438547
schlag,2,5313,0.0003764351590438547
hat,2,5313,0.0003764351590438547
verkocht,2,5313,0.0003764351590438547
weichgekocht,2,5313,0.0003764351590438547
vii,2,5313,0.0003764351590438547
ganz,2,5313,0.0003764351590438547
g,2,5313,0.0003764351590438547
gläser,2,5313,0.0003764351590438547
geformt,2,5313,0.0003764351590438547
kochende,2,5313,0.0003764351590438547
ginnt,2,5313,0.0003764351590438547
geschälte,2,5313,0.0003764351590438547
stellt,2,5313,0.0003764351590438547
belehrungen,2,5313,0.0003764351590438547
zerteilt,2,5313,0.0003764351590438547
braunen,2,5313,0.0003764351590438547
250,2,5313,0.0003764351590438547
vi,2,5313,0.0003764351590438547
himbeersaft,2,5313,0.0003764351590438547
gestrichen,2,5313,0.0003764351590438547
kar,2,5313,0.0003764351590438547
geschnittene,2,5313,0.0003764351590438547
sauerkohlsuppe,2,5313,0.0003764351590438547
natron,2,5313,0.0003764351590438547
fische,2,5313,0.0003764351590438547
speck,2,5313,0.0003764351590438547
übrige,2,5313,0.0003764351590438547
senfsoße,2,5313,0.0003764351590438547
handels,2,5313,0.0003764351590438547
heringskartoffeln,2,5313,0.0003764351590438547
rieben,2,5313,0.0003764351590438547
gemüsegerichte,2,5313,0.0003764351590438547
getrieben,2,5313,0.0003764351590438547
abgegossen,2,5313,0.0003764351590438547
b,2,5313,0.0003764351590438547
schüttet,2,5313,0.0003764351590438547
gleichen,2,5313,0.0003764351590438547
3v,2,5313,0.0003764351590438547
sahne,2,5313,0.0003764351590438547
zugedeckt,2,5313,0.0003764351590438547
gekochtes,2,5313,0.0003764351590438547
hackbraten,2,5313,0.0003764351590438547
ernst,2,5313,0.0003764351590438547
viel,2,5313,0.0003764351590438547
iv,2,5313,0.0003764351590438547
5v,2,5313,0.0003764351590438547
kochkiste,2,5313,0.0003764351590438547
2l,2,5313,0.0003764351590438547
41,2,5313,0.0003764351590438547
toffeln,2,5313,0.0003764351590438547
puddingform,2,5313,0.0003764351590438547
veg,2,5313,0.0003764351590438547
muskat,2,5313,0.0003764351590438547
hinzugefügt,2,5313,0.0003764351590438547
holländische,2,5313,0.0003764351590438547
