ngram,count,total_words,frequency
und,1557,36519,0.04263534050768093
die,822,36519,0.02250883101946932
der,679,36519,0.018593061146252636
man,654,36519,0.017908485993592377
mit,645,36519,0.017662038938634682
in,592,36519,0.016210739614994935
zu,511,36519,0.013992716120375694
oder,450,36519,0.012322352747884662
ist,427,36519,0.011692543607437225
sie,380,36519,0.010405542320435937
das,352,36519,0.009638818149456448
den,291,36519,0.007968454776965415
ein,261,36519,0.007146964593773104
von,261,36519,0.007146964593773104
auch,250,36519,0.00684575152660259
als,247,36519,0.0067636025082833595
werden,217,36519,0.005942112325091048
eine,214,36519,0.005859963306771817
auf,211,36519,0.0057778142884525865
sich,202,36519,0.005531367233494893
sind,196,36519,0.005367069196856431
dem,187,36519,0.005120622141898738
es,181,36519,0.004956324105260275
bei,181,36519,0.004956324105260275
des,164,36519,0.004490813001451299
kann,162,36519,0.004436046989238478
im,154,36519,0.004216982940387195
durch,152,36519,0.004162216928174375
wasser,149,36519,0.004080067909855144
nach,145,36519,0.003970535885429502
wird,142,36519,0.0038883868671102714
nicht,140,36519,0.003833620854897451
für,134,36519,0.0036693228182589884
muß,131,36519,0.0035871737999397576
butter,129,36519,0.0035324077877269366
zum,122,36519,0.0033407267449820643
wie,121,36519,0.0033133437388756536
so,118,36519,0.003231194720556423
dann,117,36519,0.003203811714450012
einer,115,36519,0.0031490457022371916
dazu,115,36519,0.0031490457022371916
an,114,36519,0.0031216626961307814
aus,102,36519,0.002793066622853857
etwas,101,36519,0.0027656836167474466
milch,98,36519,0.0026835345984282154
2,96,36519,0.002628768586215395
salz,95,36519,0.002601385580108984
um,95,36519,0.002601385580108984
zur,93,36519,0.0025466195678961637
ihn,89,36519,0.002437087543470522
wenn,89,36519,0.002437087543470522
1,88,36519,0.002409704537364112
sehr,87,36519,0.0023823215312577016
zucker,84,36519,0.0023001725129384704
einem,83,36519,0.00227278950683206
fett,80,36519,0.002190640488512829
ol,79,36519,0.0021632574824064187
nur,77,36519,0.0021084914701935977
am,77,36519,0.0021084914701935977
einen,77,36519,0.0021084914701935977
vor,76,36519,0.0020811084640871874
er,74,36519,0.002026342451874367
mehl,73,36519,0.001998959445767956
bis,69,36519,0.001889427421342315
zwiebel,63,36519,0.0017251293847038527
fleisch,63,36519,0.0017251293847038527
wir,63,36519,0.0017251293847038527
gemüse,60,36519,0.0016429803663846217
müssen,60,36519,0.0016429803663846217
doch,59,36519,0.0016155973602782114
daß,58,36519,0.001588214354171801
besonders,58,36519,0.001588214354171801
hat,56,36519,0.0015334483419589802
läßt,56,36519,0.0015334483419589802
ge,56,36519,0.0015334483419589802
uud,54,36519,0.0014786823297461595
da,52,36519,0.0014239163175333387
körper,49,36519,0.0013417672992141077
beim,47,36519,0.001287001287001287
pfund,46,36519,0.0012596182808948767
sein,45,36519,0.0012322352747884662
besten,45,36519,0.0012322352747884662
petersilie,45,36519,0.0012322352747884662
3,44,36519,0.001204852268682056
ganz,44,36519,0.001204852268682056
gibt,44,36519,0.001204852268682056
tunke,43,36519,0.0011774692625756455
braten,43,36519,0.0011774692625756455
uns,42,36519,0.0011500862564692352
art,42,36519,0.0011500862564692352
4,42,36519,0.0011500862564692352
zeit,41,36519,0.0011227032503628247
unter,41,36519,0.0011227032503628247
kochen,41,36519,0.0011227032503628247
lassen,40,36519,0.0010953202442564145
alle,39,36519,0.0010679372381500042
ei,39,36519,0.0010679372381500042
kartoffeln,38,36519,0.0010405542320435937
selbst,38,36519,0.0010405542320435937
weich,36,36519,0.000985788219830773
5,36,36519,0.000985788219830773
jeder,36,36519,0.000985788219830773
etwa,36,36519,0.000985788219830773
haben,36,36519,0.000985788219830773
denn,35,36519,0.0009584052137243627
eiweiß,35,36519,0.0009584052137243627
sahne,35,36519,0.0009584052137243627
ohne,35,36519,0.0009584052137243627
ebenso,34,36519,0.0009310222076179523
arzt,34,36519,0.0009310222076179523
menschen,34,36519,0.0009310222076179523
ab,34,36519,0.0009310222076179523
ver,34,36519,0.0009310222076179523
reis,33,36519,0.000903639201511542
genau,33,36519,0.000903639201511542
viel,33,36519,0.000903639201511542
über,33,36519,0.000903639201511542
masse,33,36519,0.000903639201511542
scheiben,33,36519,0.000903639201511542
jetzt,33,36519,0.000903639201511542
diese,32,36519,0.0008762561954051316
bestreut,32,36519,0.0008762561954051316
was,32,36519,0.0008762561954051316
zitronensaft,32,36519,0.0008762561954051316
suppe,32,36519,0.0008762561954051316
geschnitten,32,36519,0.0008762561954051316
pfeffer,32,36519,0.0008762561954051316
natur,31,36519,0.0008488731892987212
je,30,36519,0.0008214901831923108
erhalten,30,36519,0.0008214901831923108
alles,30,36519,0.0008214901831923108
semmel,30,36519,0.0008214901831923108
noch,30,36519,0.0008214901831923108
sondern,29,36519,0.0007941071770859005
eignen,29,36519,0.0007941071770859005
legt,29,36519,0.0007941071770859005
beigabe,29,36519,0.0007941071770859005
eier,29,36519,0.0007941071770859005
prise,29,36519,0.0007941071770859005
darum,28,36519,0.0007667241709794901
fein,28,36519,0.0007667241709794901
kost,28,36519,0.0007667241709794901
schnell,28,36519,0.0007667241709794901
be,28,36519,0.0007667241709794901
gut,28,36519,0.0007667241709794901
obst,27,36519,0.0007393411648730797
verwenden,27,36519,0.0007393411648730797
erst,27,36519,0.0007393411648730797
geschmack,27,36519,0.0007393411648730797
einige,27,36519,0.0007393411648730797
mehr,27,36519,0.0007393411648730797
tisch,27,36519,0.0007393411648730797
aber,27,36519,0.0007393411648730797
wirkung,27,36519,0.0007393411648730797
mehlschwitze,26,36519,0.0007119581587666694
leicht,26,36519,0.0007119581587666694
brauner,26,36519,0.0007119581587666694
ernährung,26,36519,0.0007119581587666694
belieben,26,36519,0.0007119581587666694
nahrung,26,36519,0.0007119581587666694
gewaschen,26,36519,0.0007119581587666694
vanille,26,36519,0.0007119581587666694
sofort,25,36519,0.0006845751526602591
allen,25,36519,0.0006845751526602591
kocht,25,36519,0.0006845751526602591
stunde,25,36519,0.0006845751526602591
tüchtig,25,36519,0.0006845751526602591
aller,24,36519,0.0006571921465538487
fügt,24,36519,0.0006571921465538487
bringt,24,36519,0.0006571921465538487
8,24,36519,0.0006571921465538487
jede,24,36519,0.0006571921465538487
erbsen,24,36519,0.0006571921465538487
kartoffel,24,36519,0.0006571921465538487
teil,24,36519,0.0006571921465538487
goldgelb,23,36519,0.0006298091404474383
^,23,36519,0.0006298091404474383
stückchen,23,36519,0.0006298091404474383
können,23,36519,0.0006298091404474383
darf,23,36519,0.0006298091404474383
macht,23,36519,0.0006298091404474383
schüssel,23,36519,0.0006298091404474383
tee,23,36519,0.0006298091404474383
ganze,23,36519,0.0006298091404474383
salat,23,36519,0.0006298091404474383
kommt,22,36519,0.000602426134341028
bereitet,22,36519,0.000602426134341028
nötig,22,36519,0.000602426134341028
10,22,36519,0.000602426134341028
wenig,22,36519,0.000602426134341028
dadurch,22,36519,0.000602426134341028
stunden,22,36519,0.000602426134341028
möglich,22,36519,0.000602426134341028
junge,21,36519,0.0005750431282346176
damit,21,36519,0.0005750431282346176
eignet,21,36519,0.0005750431282346176
schluß,21,36519,0.0005750431282346176
seiner,21,36519,0.0005750431282346176
saft,21,36519,0.0005750431282346176
will,21,36519,0.0005750431282346176
wohl,21,36519,0.0005750431282346176
seine,21,36519,0.0005750431282346176
genug,21,36519,0.0005750431282346176
spinat,21,36519,0.0005750431282346176
möhren,20,36519,0.0005476601221282072
kranken,20,36519,0.0005476601221282072
magen,20,36519,0.0005476601221282072
vorsichtig,20,36519,0.0005476601221282072
soll,20,36519,0.0005476601221282072
früchte,20,36519,0.0005476601221282072
kinder,20,36519,0.0005476601221282072
gießt,20,36519,0.0005476601221282072
gebacken,20,36519,0.0005476601221282072
hausfrau,20,36519,0.0005476601221282072
farbe,20,36519,0.0005476601221282072
schneidet,20,36519,0.0005476601221282072
luft,20,36519,0.0005476601221282072
kleine,20,36519,0.0005476601221282072
0,20,36519,0.0005476601221282072
eßlöffel,20,36519,0.0005476601221282072
vom,19,36519,0.0005202771160217969
z,19,36519,0.0005202771160217969
speisen,19,36519,0.0005202771160217969
weise,19,36519,0.0005202771160217969
nebst,19,36519,0.0005202771160217969
schale,19,36519,0.0005202771160217969
form,19,36519,0.0005202771160217969
