,id,pub_year,date_approx,author,script,title,type,series,edition,ocr_quality,language,translated_from,pub_city,country,source,source_url
0,1,1938,,Édouard de Pomiane,,"365 menus, 365 recettes",,,,0.75741756297942,French,,Paris,France,Archive.org,
1,2,1929,,,,A table! : chez Tante Claire,Bourgeois cooking,,,0.97999999947736,French,,Paris,France,Archive.org,
2,3,1855,,Louis-Eustache Audot,,Almanach des ménagères et des gastronomes,,,,0.942857142857143,French,,Paris,France,Archive.org,
3,4,1904,,Madame Seignobos,,"Comment on forme une cuisinière (deuxième partie volailles, gibiers, sauces)",Bourgeois cooking,,,0.867385201181019,French,,Paris,France,Archive.org,
4,5,1904,,Madame Seignobos,,Comment on forme une cuisinière (première partie viandes de boucherie),Bourgeois cooking,,,0.871212121212121,French,,Paris,France,Archive.org,
5,6,1904,,Madame Seignobos,,"Comment on forme une cuisinière (quatrième partie conserves, sirops, confitures)",Bourgeois cooking,,,0.916666666666666,French,,Paris,France,Archive.org,
6,7,1904,,Madame Seignobos,,"Comment on forme une cuisinière (troisième partie potages, pâtes, oeufs, légumes, poissons)",Bourgeois cooking,,,0.922870139431285,French,,Paris,France,Archive.org,
7,8,1876,,Urbain-Dubois,,"École des cuisinières, méthodes élémentaires, économiques",Fine cooking,,2,0.863437583963129,French,,Paris,France,Archive.org,
8,9,1877,,Jules Trousset,,Grande encyclopédie illustrée d'économie domestique et rurale (Tome 1 A-F),Bourgeois cooking,,,0.65914164665107,French,,Paris,France,Archive.org,
9,10,1890,1.0,Mme C. Durandeau,,Guide de la bonne cuisinière ,Bourgeois cooking,Guide de la bonne cuisinière ,11,0.961837745818994,French,,Paris,France,Archive.org,
10,11,1898,1.0,Mme C. Durandeau,,Guide de la bonne cuisinière ,Bourgeois cooking,Guide de la bonne cuisinière ,13,0.979980062542193,French,,Paris,France,Archive.org,
11,12,1900,1.0,Mme C. Durandeau,,Guide de la bonne cuisinière ,Bourgeois cooking,Guide de la bonne cuisinière ,17,0.948007649041829,French,,Paris,France,Archive.org,
12,13,1882,,Urbain-Dubois,,La cuisine artistique (première partie),Fine cooking,,2,0.75,French,,Paris,France,Gallica,
13,14,1906,,Auguste Colombié,,La cuisine bourgeoise Tome II,Bourgeois cooking,,1,0.99,French,,Meulan,France,Gallica,
14,15,1869,,Urbain Dubois et Émile Bernard,,La cuisine classique,Fine cooking,,3,0.97999998805924,French,,Paris,France,Gallica,
15,16,1895,,Catherine de Bonnechère,,La cuisine du siècle,Bourgeois cooking,,,0.788540231540435,French,,Paris,France,Archive.org,
16,17,1922,,,,La cuisine et la table modernes,Bourgeois cooking,,,0.990778306825879,French,,Paris,France,Gallica,
17,18,1864,,A. Gogué,,La cuisine française,Fine cooking,,3,0.991115630942775,French,,Paris,France,Gallica,
18,19,1876,,A. Gogué,,La cuisine française,Fine cooking,,5,0.989999999999994,French,,Paris,France,Gallica,
19,20,1848,,Beauvilliers et Carême,,La cuisine ordinaire. Tome 1,Bourgeois cooking,,,0.995,French,,Paris,France,Gallica,
